ZIP,LAT,LNG,zip_prefix,state_abb,city,state_full
00601,18.180555,-66.749961,006,PR,SAN JUAN,NA
00602,18.361945,-67.175597,006,PR,SAN JUAN,NA
00603,18.455183,-67.119887,006,PR,SAN JUAN,NA
00606,18.158345,-66.932911,006,PR,SAN JUAN,NA
00610,18.295366,-67.125135,006,PR,SAN JUAN,NA
00612,18.402253,-66.711397,006,PR,SAN JUAN,NA
00616,18.420412,-66.671979,006,PR,SAN JUAN,NA
00617,18.445147,-66.559696,006,PR,SAN JUAN,NA
00622,17.991245,-67.153993,006,PR,SAN JUAN,NA
00623,18.083361,-67.153897,006,PR,SAN JUAN,NA
00624,18.064919,-66.716683,006,PR,SAN JUAN,NA
00627,18.4126,-66.863926,006,PR,SAN JUAN,NA
00631,18.190607,-66.832041,006,PR,SAN JUAN,NA
00637,18.076713,-66.947389,006,PR,SAN JUAN,NA
00638,18.295913,-66.515588,006,PR,SAN JUAN,NA
00641,18.263085,-66.712985,006,PR,SAN JUAN,NA
00646,18.43315,-66.285875,006,PR,SAN JUAN,NA
00647,17.963613,-66.947127,006,PR,SAN JUAN,NA
00650,18.349416,-66.578079,006,PR,SAN JUAN,NA
00652,18.448452,-66.594127,006,PR,SAN JUAN,NA
00653,17.985033,-66.886536,006,PR,SAN JUAN,NA
00656,18.053539,-66.792931,006,PR,SAN JUAN,NA
00659,18.407226,-66.808999,006,PR,SAN JUAN,NA
00660,18.134695,-67.116199,006,PR,SAN JUAN,NA
00662,18.46832,-67.015781,006,PR,SAN JUAN,NA
00664,18.21033,-66.591616,006,PR,SAN JUAN,NA
00667,18.003422,-67.03581,006,PR,SAN JUAN,NA
00669,18.277102,-66.869645,006,PR,SAN JUAN,NA
00670,18.240187,-66.988776,006,PR,SAN JUAN,NA
00674,18.422908,-66.489337,006,PR,SAN JUAN,NA
00676,18.377637,-67.079574,006,PR,SAN JUAN,NA
00677,18.332568,-67.227022,006,PR,SAN JUAN,NA
00678,18.434099,-66.927384,006,PR,SAN JUAN,NA
00680,18.182055,-67.132502,006,PR,SAN JUAN,NA
00682,18.221464,-67.156039,006,PR,SAN JUAN,NA
00683,18.1078,-67.037263,006,PR,SAN JUAN,NA
00685,18.332929,-66.959689,006,PR,SAN JUAN,NA
00687,18.319026,-66.420557,006,PR,SAN JUAN,NA
00688,18.382264,-66.626438,006,PR,SAN JUAN,NA
00690,18.49551,-67.098671,006,PR,SAN JUAN,NA
00692,18.410188,-66.336556,006,PR,SAN JUAN,NA
00693,18.423,-66.397232,006,PR,SAN JUAN,NA
00694,18.48237,-66.391079,006,PR,SAN JUAN,NA
00698,18.064848,-66.856319,006,PR,SAN JUAN,NA
00703,18.248401,-66.130662,007,PR,SAN JUAN,NA
00704,17.96577,-66.219555,007,PR,SAN JUAN,NA
00705,18.128961,-66.266683,007,PR,SAN JUAN,NA
00707,18.014055,-65.920751,007,PR,SAN JUAN,NA
00714,18.003025,-66.046237,007,PR,SAN JUAN,NA
00715,18.011233,-66.560065,007,PR,SAN JUAN,NA
00716,17.99204,-66.605856,007,PR,SAN JUAN,NA
00717,18.003222,-66.614037,007,PR,SAN JUAN,NA
00718,18.231988,-65.759623,007,PR,SAN JUAN,NA
00719,18.289927,-66.25344,007,PR,SAN JUAN,NA
00720,18.217946,-66.428076,007,PR,SAN JUAN,NA
00723,18.043498,-66.015479,007,PR,SAN JUAN,NA
00725,18.218819,-66.042375,007,PR,SAN JUAN,NA
00727,18.215308,-66.073565,007,PR,SAN JUAN,NA
00728,17.989853,-66.664116,007,PR,SAN JUAN,NA
00729,18.323585,-65.883206,007,PR,SAN JUAN,NA
00730,18.030831,-66.616838,007,PR,SAN JUAN,NA
00731,18.109947,-66.635622,007,PR,SAN JUAN,NA
00735,18.252604,-65.682494,007,PR,SAN JUAN,NA
00736,18.103624,-66.151667,007,PR,SAN JUAN,NA
00738,18.304458,-65.698711,007,PR,SAN JUAN,NA
00739,18.177233,-66.160645,007,PR,SAN JUAN,NA
00740,18.331178,-65.634104,007,PR,SAN JUAN,NA
00741,18.163855,-65.754042,007,PR,SAN JUAN,NA
00745,18.352216,-65.817387,007,PR,SAN JUAN,NA
00751,18.001317,-66.252183,007,PR,SAN JUAN,NA
00754,18.147107,-65.976167,007,PR,SAN JUAN,NA
00757,17.995441,-66.391334,007,PR,SAN JUAN,NA
00765,18.130096,-65.439369,007,PR,SAN JUAN,NA
00766,18.133196,-66.476916,007,PR,SAN JUAN,NA
00767,18.069489,-65.896161,007,PR,SAN JUAN,NA
00769,18.1038,-66.357586,007,PR,SAN JUAN,NA
00771,18.187148,-65.871189,007,PR,SAN JUAN,NA
00772,18.438969,-65.905174,007,PR,SAN JUAN,NA
00773,18.342888,-65.723109,007,PR,SAN JUAN,NA
00775,18.326599,-65.30772,007,PR,SAN JUAN,NA
00777,18.224133,-65.908542,007,PR,SAN JUAN,NA
00778,18.264076,-65.97851,007,PR,SAN JUAN,NA
00780,18.102834,-66.568105,007,PR,SAN JUAN,NA
00782,18.225708,-66.221633,007,PR,SAN JUAN,NA
00783,18.30391,-66.326179,007,PR,SAN JUAN,NA
00784,18.010714,-66.133615,007,PR,SAN JUAN,NA
00786,18.155424,-66.229907,007,PR,SAN JUAN,NA
00791,18.136782,-65.821476,007,PR,SAN JUAN,NA
00794,18.198955,-66.309833,007,PR,SAN JUAN,NA
00795,18.060494,-66.500624,007,PR,SAN JUAN,NA
00801,18.350449,-64.973886,008,PR,SAN JUAN,NA
00802,18.340862,-64.923479,008,PR,SAN JUAN,NA
00820,17.743072,-64.68657,008,PR,SAN JUAN,NA
00823,17.723541,-64.745932,008,PR,SAN JUAN,NA
00824,17.744557,-64.682933,008,PR,SAN JUAN,NA
00830,18.33856,-64.736533,008,PR,SAN JUAN,NA
00831,18.327294,-64.78672,008,PR,SAN JUAN,NA
00840,17.747872,-64.880695,008,PR,SAN JUAN,NA
00841,17.768133,-64.807852,008,PR,SAN JUAN,NA
00850,17.709936,-64.750099,008,PR,SAN JUAN,NA
00851,17.732228,-64.77076,008,PR,SAN JUAN,NA
00901,18.465369,-66.104613,009,PR,SAN JUAN,NA
00906,18.46446,-66.094995,009,PR,SAN JUAN,NA
00907,18.452553,-66.077838,009,PR,SAN JUAN,NA
00909,18.44161,-66.067132,009,PR,SAN JUAN,NA
00911,18.451159,-66.056199,009,PR,SAN JUAN,NA
00912,18.445328,-66.060135,009,PR,SAN JUAN,NA
00913,18.450002,-66.042656,009,PR,SAN JUAN,NA
00915,18.437179,-66.045571,009,PR,SAN JUAN,NA
00917,18.420674000000002,-66.050105,009,PR,SAN JUAN,NA
00918,18.421022,-66.065789,009,PR,SAN JUAN,NA
00920,18.414292,-66.088042,009,PR,SAN JUAN,NA
00921,18.392282,-66.088555,009,PR,SAN JUAN,NA
00923,18.409307,-66.038888,009,PR,SAN JUAN,NA
00924,18.399192,-66.012453,009,PR,SAN JUAN,NA
00925,18.400296,-66.050602,009,PR,SAN JUAN,NA
00926,18.3454,-66.051545,009,PR,SAN JUAN,NA
00927,18.388011,-66.072089,009,PR,SAN JUAN,NA
00934,18.411313,-66.124234,009,PR,SAN JUAN,NA
00936,18.395463,-66.073772,009,PR,SAN JUAN,NA
00949,18.430696,-66.212833,009,PR,SAN JUAN,NA
00950,18.459699,-66.233101,009,PR,SAN JUAN,NA
00951,18.42753,-66.253789,009,PR,SAN JUAN,NA
00952,18.427448,-66.182026,009,PR,SAN JUAN,NA
00953,18.360729,-66.251527,009,PR,SAN JUAN,NA
00956,18.321137,-66.170419,009,PR,SAN JUAN,NA
00957,18.368414,-66.187693,009,PR,SAN JUAN,NA
00959,18.39182,-66.154564,009,PR,SAN JUAN,NA
00960,18.416919,-66.145795,009,PR,SAN JUAN,NA
00961,18.413286,-66.164617,009,PR,SAN JUAN,NA
00962,18.444614,-66.148839,009,PR,SAN JUAN,NA
00965,18.433757,-66.114752,009,PR,SAN JUAN,NA
00966,18.401521,-66.117597,009,PR,SAN JUAN,NA
00968,18.406085,-66.101232,009,PR,SAN JUAN,NA
00969,18.368062,-66.108062,009,PR,SAN JUAN,NA
00971,18.318884,-66.11919,009,PR,SAN JUAN,NA
00976,18.336176,-65.994099,009,PR,SAN JUAN,NA
00979,18.444394,-66.030036,009,PR,SAN JUAN,NA
00982,18.411261,-65.992045,009,PR,SAN JUAN,NA
00983,18.417816,-65.975819,009,PR,SAN JUAN,NA
00985,18.41077,-65.947928,009,PR,SAN JUAN,NA
00987,18.338161,-65.941083,009,PR,SAN JUAN,NA
01001,42.062368,-72.625754,010,MA,SPRINGFIELD,massachusetts
01002,42.364061,-72.458739,010,MA,SPRINGFIELD,massachusetts
01003,42.389941,-72.524108,010,MA,SPRINGFIELD,massachusetts
01005,42.418848,-72.106598,010,MA,SPRINGFIELD,massachusetts
01007,42.27901,-72.400468,010,MA,SPRINGFIELD,massachusetts
01008,42.190144,-72.95435,010,MA,SPRINGFIELD,massachusetts
01009,42.211969,-72.341433,010,MA,SPRINGFIELD,massachusetts
01010,42.128176,-72.205352,010,MA,SPRINGFIELD,massachusetts
01011,42.300281,-72.968716,010,MA,SPRINGFIELD,massachusetts
01012,42.375425,-72.858192,010,MA,SPRINGFIELD,massachusetts
01013,42.154904,-72.602804,010,MA,SPRINGFIELD,massachusetts
01020,42.172602,-72.562073,010,MA,SPRINGFIELD,massachusetts
01022,42.197741,-72.542713,010,MA,SPRINGFIELD,massachusetts
